"Year","AUS","AUT","BEL","BGR","BLR","CAN","CHE","CYP","CZE","DEU","DNK","ESP","EST","FIN","FRA","GBR","GRC","HRV","HUN","IRL","ISL","ITA","JPN","KAZ","LIE","LTU","LUX","LVA","MCO","MLT","NLD","NOR","POL","PRT","ROU","RUS","SVK","SVN","SWE","TUR","UKR","USA","CHN","AFG","ARG","ARM","AZE","BGD","BRA","CHL","JAM","KOR","KSV","LBN","MDA","PRY","RWA","SAU","TGO","THA","TUN","TWN","UZB","KHM","FJI","GHA","MRT","SLE","CIV","BRN","TUV","PNG","GIN","AND","SGP","REU","GLP","GUF","MTQ","MYT"
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1986,,,,,,,,,,,,,,,,,,,"CRF (hun-2023-crf-15apr23_AR5.zip)",,,,,,,,,,,,,,,,,,,"CRF (svn-2023-crf-12apr23-AR5.zip)",,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
